name,group_type,filled_at,filled_day,filled_month,filled_year,is_phishing_email_1,is_phishing_email_2,is_phishing_email_3,is_phishing_email_4,is_phishing_email_5,is_phishing_email_6,is_phishing_email_7,is_phishing_email_8,is_phishing_email_9,is_phishing_email_10,response_time_email_1,response_time_email_2,response_time_email_3,response_time_email_4,response_time_email_5,response_time_email_6,response_time_email_7,response_time_email_8,response_time_email_9,response_time_email_10,confidence_level_email_1,confidence_level_email_2,confidence_level_email_3,confidence_level_email_4,confidence_level_email_5,confidence_level_email_6,confidence_level_email_7,confidence_level_email_8,confidence_level_email_9,confidence_level_email_10,helpfulness
Andrew,lime,2026-06-01 13:30:34.173017+00,1,6,2026,true,true,true,true,true,true,false,true,true,true,42002,7101,6903,9303,10404,20802,20405,15212,7306,11904,5,5,5,5,5,5,5,5,5,5,1
angel,word2vec,2026-06-01 14:42:09.648468+00,1,6,2026,true,true,false,true,true,true,true,true,false,true,5600,3701,2001,2516,1801,25612,2402,1002,1604,1410,3,4,2,5,5,5,5,1,5,2,3
Angel,word2vec,2026-06-03 05:34:54.530816+00,3,6,2026,false,true,true,true,false,false,false,false,false,true,7502,3101,2000,3601,4301,5800,5501,5700,4800,3401,4,5,4,5,3,3,4,4,5,5,4
Angel,word2vec,2026-06-02 14:19:48.090597+00,2,6,2026,false,true,true,true,true,false,false,false,false,false,20574,1642,1333,2580,5285,12356,1438,4348,2997,1438,4,5,4,4,3,4,5,4,4,4,4
angela,lime,2026-06-20 08:44:16.054427+00,20,6,2026,false,true,true,false,true,true,false,false,false,false,3407,11406,5003,3201,3104,10204,3815,3502,5800,2806,4,3,4,5,4,4,5,5,3,2,3
Annicka,lime,2026-06-08 18:07:15.906172+00,8,6,2026,true,true,false,true,true,false,false,false,false,false,8007,8901,7203,2715,10201,14502,14301,16004,12100,29908,5,5,5,5,5,3,5,3,4,3,4
Arsya,control,2026-06-15 10:34:15.438476+00,15,6,2026,true,true,true,true,true,true,true,true,true,true,5101,901,1500,4901,801,2300,1302,901,800,1100,4,5,4,4,5,5,4,4,5,5,
astrid,lime,2026-06-20 08:49:45.430125+00,20,6,2026,false,true,true,true,true,false,false,false,false,true,1708,2308,1608,3401,2604,1316,2710,1100,106608,5101,2,5,2,3,4,2,5,2,2,3,2
Athallah,lime,2026-06-08 11:37:19.919943+00,8,6,2026,false,true,true,true,true,true,false,false,false,false,20293,8768,4203,1921,1814,8150,1569,2032,4215,2634,4,4,5,5,5,5,5,5,4,4,4
Aya,word2vec,2026-06-02 14:56:02.637806+00,2,6,2026,false,true,true,true,true,false,false,false,false,false,4101,7500,9300,5100,6900,2100,1900,2201,3300,4100,4,4,3,3,4,3,4,4,4,4,5
B,word2vec,2026-05-29 11:43:56.52148+00,29,5,2026,false,false,false,false,false,false,false,false,false,false,4414,3015,5432,7334,6627,4625,10741,7054,5521,6231,5,5,5,5,5,5,5,5,5,5,5
Belva,control,2026-06-08 13:01:28.830993+00,8,6,2026,true,false,true,true,true,false,false,false,false,false,27832,72947,9870,14692,42729,27543,32042,31547,59347,23258,4,4,4,3,3,4,4,3,3,3,
BhreKheley,control,2026-06-05 11:04:50.816713+00,5,6,2026,true,true,true,true,true,false,false,true,false,true,10201,17200,19700,27000,17000,16600,16800,12618,20600,18801,5,5,5,5,5,4,5,1,3,3,
Briant,lime,2026-05-29 08:39:18.442707+00,29,5,2026,true,false,false,false,false,false,false,false,true,false,15887,156249,8320,5117,4125,5420,9250,17693,39346,6952,4,5,5,5,5,5,5,3,5,5,5
Briant,lime,2026-05-29 08:30:38.02429+00,29,5,2026,true,true,true,false,true,false,false,false,false,false,5842,13692,21795,53398,7093,10381,590381,11761,9334,3325,5,3,2,4,3,3,4,5,3,5,4
Briant,lime,2026-05-27 09:40:40.992+00,27,5,2026,true,true,true,true,true,true,false,false,false,false,6028,44128,48851,37718,275606,3712,52205,11951,6042,31695,5,5,4,5,4,5,4,4,3,2,4
Briant,word2vec,2026-05-29 09:07:09.822452+00,29,5,2026,false,false,false,false,true,true,false,false,false,false,10948,7730,21366,2415,4115,2012,2408,5425,1610,9137,4,3,2,4,2,3,4,4,5,5,3
ca,word2vec,2026-06-01 13:42:11.50832+00,1,6,2026,false,true,true,false,false,false,false,false,true,false,15505,43517,9541,23066,33171,22469,41337,24031,3413,16779,5,3,3,4,3,4,4,3,4,4,4
casa,word2vec,2026-06-02 16:14:38.438192+00,2,6,2026,false,true,false,true,true,true,false,false,false,false,10402,2901,5101,2001,803,1415,3508,1102,1100,1212,4,4,5,4,4,3,5,5,5,5,5
Cerwyn,lime,2026-06-20 08:11:28.293334+00,20,6,2026,false,true,true,true,true,false,false,false,false,false,24729,32633,45013,35547,11211,33466,17453,17139,36276,21924,3,4,3,3,4,3,5,5,4,5,3
Christian,lime,2026-06-06 12:57:42.204474+00,6,6,2026,true,true,true,true,true,true,false,false,false,false,12200,48900,20301,26700,11301,10500,27400,8800,24000,39101,4,4,5,5,5,5,5,5,3,4,5
christian brandon,lime,2026-06-04 02:27:18.906497+00,4,6,2026,false,true,true,true,true,true,false,false,false,false,15600,7200,2800,2300,3700,2800,4700,1900,3900,11601,5,5,5,5,5,5,5,5,5,5,5
Christian Putra Mahardika,lime,2026-06-08 09:33:09.756708+00,8,6,2026,true,true,true,false,true,false,false,false,false,false,12700,21900,28700,38800,17000,10500,16800,30501,19800,21700,4,2,1,2,3,4,5,3,4,4,2
christina,control,2026-06-08 09:04:00.081988+00,8,6,2026,true,true,false,false,true,true,false,false,false,true,14501,30901,29200,12201,9100,13601,8300,8401,12101,16400,4,5,3,4,5,4,3,4,3,3,
Christoff,control,2026-06-09 05:10:41.943418+00,9,6,2026,true,true,true,true,true,true,false,false,false,false,29056,9784,42727,11194,9072,10494,10989,9979,10679,7458,5,5,5,5,5,5,5,5,5,5,
Cinta,lime,2026-06-10 04:05:59.918849+00,10,6,2026,true,true,true,true,true,true,false,false,false,false,31301,22000,16800,23901,33100,13600,37200,5400,8500,8700,3,4,5,5,4,3,3,3,2,3,4
claa,lime,2026-06-20 10:07:48.570039+00,20,6,2026,true,true,true,true,true,true,true,false,false,false,2101,2102,1805,2501,2101,4311,5111,2005,6100,2700,1,4,5,4,5,3,3,4,3,4,3
Clara,lime,2026-06-17 14:59:17.996263+00,17,6,2026,true,true,true,false,true,true,false,false,false,false,36475,49450,94793,26771,42244,22570,28917,25323,29037,51967,4,3,4,4,5,5,5,4,4,4,4
Clarissaa,word2vec,2026-06-01 11:44:57.110794+00,1,6,2026,true,false,true,true,true,false,false,false,false,false,11626,33264,11837,9758,6218,15684,8821,8817,9235,8924,3,4,5,5,5,3,5,5,3,4,3
Conserali,word2vec,2026-06-01 12:40:33.915052+00,1,6,2026,true,true,true,true,true,true,false,false,false,false,4207,6812,2920,1708,3206,3307,19841,20735,6707,9740,5,5,5,5,5,2,3,4,4,3,3
dave,lime,2026-06-08 11:02:29.611767+00,8,6,2026,true,true,true,true,true,true,false,true,false,false,6404,1210,1206,602,506,506,2201,601,1100,803,5,3,3,3,3,3,3,3,3,3,5
der,control,2026-06-05 09:12:03.82795+00,5,6,2026,true,true,true,true,true,true,false,false,false,false,10001,16401,25404,16200,11202,24302,23807,18405,11903,14007,5,5,4,5,5,3,5,5,5,5,
destia,word2vec,2026-06-03 05:40:45.05668+00,3,6,2026,true,true,true,true,true,true,false,false,false,false,12301,3701,10838,29901,18901,21100,12359,21001,12428,13000,4,5,4,5,4,4,4,4,4,4,4
deysst,control,2026-06-15 09:25:27.393235+00,15,6,2026,true,false,false,false,true,false,false,true,true,true,4561,30244,22788,41390,29167,27961,57496,25547,18115,23530,5,2,4,5,3,5,4,4,3,1,
Dila,control,2026-06-15 10:27:03.503416+00,15,6,2026,true,true,true,true,true,true,true,true,true,true,1914,708,606,707,607,807,1112,707,709,807,5,5,4,5,4,5,4,5,4,5,
Dimas,control,2026-06-15 10:08:43.889862+00,15,6,2026,true,false,true,false,true,true,false,false,false,true,17500,53400,2401,1500,500,500,600,600,500,600,3,4,3,4,4,1,4,4,3,2,
dindaa,control,2026-06-09 08:39:11.945849+00,9,6,2026,true,false,true,true,false,false,false,true,false,false,14002,26403,37903,41203,14903,14010,24010,35214,26306,34902,4,3,3,3,1,3,3,2,3,2,
dio,word2vec,2026-06-02 13:47:24.780788+00,2,6,2026,true,true,true,true,true,true,false,false,false,false,22703,31512,4211,2306,3213,3312,6404,1503,32608,2705,4,5,4,4,4,4,4,4,4,3,4
Dira,control,2026-06-15 10:41:00.628813+00,15,6,2026,false,false,true,true,false,false,true,false,false,false,29300,18800,11500,14601,13401,3900,1300,2701,3500,9600,4,5,3,4,4,5,3,4,5,5,
Dira,control,2026-06-15 10:37:29.267909+00,15,6,2026,false,false,false,false,false,false,false,false,false,false,5902,4400,2101,1500,5700,800,1301,700,600,700,5,5,5,5,5,5,5,5,5,5,
discaa,word2vec,2026-06-02 11:06:39.467143+00,2,6,2026,false,true,true,true,true,false,false,false,false,false,23901,20700,16100,21700,20901,16001,6200,11000,8800,14401,4,4,4,4,3,3,5,4,4,4,5
Drik,control,2026-06-15 09:10:28.94427+00,15,6,2026,true,true,true,true,false,false,false,false,false,true,9724,9117,80053,9724,6132,3354,2047,6360,4936,3954,4,3,5,3,3,4,4,4,3,1,
dyah,word2vec,2026-06-02 20:14:51.735775+00,2,6,2026,true,true,false,true,true,true,false,false,false,false,10200,9200,5300,6500,9000,6800,2200,2800,3400,4401,3,4,4,5,3,3,4,4,5,4,4
ebet,word2vec,2026-06-01 11:42:12.325676+00,1,6,2026,true,true,true,true,true,true,false,false,false,false,11500,9500,5201,5700,6000,3701,3701,5301,5300,3800,3,5,4,4,4,4,4,3,4,5,1
Eiffel,lime,2026-06-05 17:44:35.989523+00,5,6,2026,true,true,true,true,true,false,false,false,true,false,5702,11700,51300,16700,26800,11200,44600,22500,12600,9500,5,3,4,5,1,5,1,1,1,1,5
elizabeth adeline,lime,2026-06-19 14:21:11.049083+00,19,6,2026,true,true,false,true,false,false,false,false,true,false,46912,13501,25910,49103,7101,6501,11400,9003,16201,110,5,5,5,5,5,5,5,5,1,4,4
ellen,control,2026-06-04 14:44:42.994823+00,4,6,2026,true,false,false,false,false,true,true,false,false,true,22953,102047,10380,6431,8197,4035,7781,2269,2892,6218,4,3,3,3,3,4,3,3,2,3,
Erc124,control,2026-06-04 08:26:33.382373+00,4,6,2026,true,true,false,true,true,false,true,true,true,true,13501,43600,37902,39001,31809,16600,8500,12200,21200,4202,4,4,4,4,4,4,4,4,4,4,
Estevan,word2vec,2026-06-02 08:45:25.299316+00,2,6,2026,true,true,true,true,true,true,true,true,true,true,6800,11700,10701,9101,1300,701,7600,900,11000,2501,4,5,4,4,4,4,4,3,4,3,4
Evigail,word2vec,2026-06-02 06:36:50.963965+00,2,6,2026,false,true,true,true,true,true,false,false,false,false,14801,7901,2714,3801,27501,6001,2701,5101,7220,11200,4,5,4,5,4,4,4,3,3,4,4
Ezekiel,lime,2026-06-09 01:22:07.456467+00,9,6,2026,true,true,true,true,true,true,false,false,false,false,7363,5698,2788,7676,1958,4140,2580,3306,4035,2268,5,5,5,5,5,5,5,5,4,4,5
Fadhla,control,2026-06-15 11:18:02.061696+00,15,6,2026,false,false,false,false,false,false,false,false,false,false,6801,1200,701,701,1400,1100,800,700,500,500,4,4,4,2,4,4,2,4,2,4,
Febri,word2vec,2026-06-03 05:45:02.066473+00,3,6,2026,true,true,true,false,true,false,false,false,false,false,15536,15752,38916,22385,38304,7851,7665,32972,16929,10185,5,5,4,3,4,5,5,4,4,5,4
Felisa,lime,2026-06-20 09:03:53.570198+00,20,6,2026,true,true,true,false,true,false,false,false,false,false,6866,7269,6667,5338,7255,3729,2622,3025,4443,3326,4,5,4,4,5,4,5,5,5,5,5
felissh,word2vec,2026-05-31 16:55:52.758472+00,31,5,2026,false,true,false,true,false,false,false,false,false,false,2401,3505,18701,9301,13804,9001,5801,4203,4501,2601,5,5,4,5,5,5,4,4,5,4,5
Fidel,control,2026-06-03 12:34:50.85095+00,3,6,2026,true,false,false,true,true,true,false,false,false,false,5200,13900,7600,10100,6100,16100,7200,7500,11300,8900,5,3,3,4,4,3,4,4,3,4,
Fifi Carmenita,word2vec,2026-06-03 04:50:29.746416+00,3,6,2026,true,true,true,true,true,true,false,false,false,false,5901,5602,6701,4000,6900,11901,4900,17002,3501,5901,5,4,4,5,5,4,3,4,4,5,5
Figo,lime,2026-06-01 13:26:05.304569+00,1,6,2026,true,true,true,true,true,false,false,false,true,false,14201,20306,2001,9605,2102,1612,2901,3900,26513,6116,4,4,5,5,4,4,5,4,3,4,4
Frederick Clarence,control,2026-06-08 09:36:39.881806+00,8,6,2026,true,true,false,true,false,false,false,false,false,false,7800,24100,46800,15000,13900,7101,8100,8501,17100,11000,4,3,2,5,4,5,4,3,4,5,
Frederick Kamsono,lime,2026-06-16 16:48:13.4537+00,16,6,2026,true,true,true,true,false,false,false,false,false,false,9007,29404,4000,7600,7714,25504,4605,4001,1513,5501,4,5,5,5,3,5,5,5,4,3,5
Gaby,lime,2026-06-08 14:54:14.255428+00,8,6,2026,true,true,true,true,false,true,false,false,false,false,25301,23599,22102,26300,43299,14101,26301,24901,21901,46700,4,5,5,4,2,4,4,3,4,3,2
Gabz,word2vec,2026-06-01 12:34:58.589773+00,1,6,2026,true,true,true,true,true,true,false,false,false,false,7601,1700,1101,700,3301,1000,13500,8800,6200,8100,3,5,5,5,5,5,2,2,2,2,5
Ganesha,lime,2026-06-19 16:30:09.404704+00,19,6,2026,true,false,true,true,true,false,false,false,false,false,6901,51801,10900,32102,8901,4101,8802,8002,16901,9800,3,3,4,5,4,5,5,5,4,4,4
Ger,control,2026-06-08 14:16:34.672248+00,8,6,2026,true,true,true,true,false,false,false,true,true,false,11812,10403,19205,14804,8513,8502,8315,22308,13101,2701,5,5,4,4,4,4,5,4,4,4,
Gerrard,lime,2026-06-19 12:59:16.740008+00,19,6,2026,true,true,false,true,false,true,false,false,false,false,16827,18389,17347,30039,30452,19217,11727,6637,9653,5696,4,5,3,4,3,4,5,4,3,4,5
Gio,word2vec,2026-06-01 12:05:08.664352+00,1,6,2026,true,true,true,true,true,true,true,false,false,false,8800,3401,3301,600,1701,1101,2400,4500,1201,800,4,5,5,5,4,5,2,4,4,4,4
gisel,lime,2026-06-20 10:30:28.6185+00,20,6,2026,true,true,true,true,false,false,false,false,false,false,7901,9400,14401,16900,15500,4901,6000,3700,8500,8401,4,5,5,3,3,5,5,4,3,3,5
hi,word2vec,2026-06-01 14:01:58.364828+00,1,6,2026,false,true,true,true,false,true,false,false,false,false,19914,8912,10504,3200,3602,1101,2802,2208,2601,2601,4,2,4,4,2,3,3,3,3,3,2
Icha Fransiska,lime,2026-06-20 10:02:07.930755+00,20,6,2026,true,true,true,true,false,true,false,false,true,false,22202,24408,23005,30809,15412,13700,5307,19116,17812,30710,4,2,2,5,4,4,5,5,2,4,2
Ivan,control,2026-06-08 15:55:46.387614+00,8,6,2026,true,true,true,true,true,false,false,false,false,false,21314,121200,20602,35315,7906,8409,12205,11601,12212,14201,3,5,5,5,5,5,5,5,5,5,
jaja,word2vec,2026-06-01 11:51:57.324514+00,1,6,2026,true,true,true,false,true,false,false,false,false,true,6400,10101,13701,8200,9801,4200,10600,23800,8901,8301,4,4,1,3,3,3,3,3,3,3,4
Jane,lime,2026-06-05 10:48:45.389417+00,5,6,2026,true,true,true,true,true,true,false,false,true,false,13201,63100,92100,30700,17501,17000,25400,54401,57900,34600,5,5,5,4,5,5,5,4,3,3,4
Jen,control,2026-06-15 09:53:01.333354+00,15,6,2026,true,true,false,true,true,true,false,false,false,false,10300,40901,14800,55000,8302,14501,12001,12301,16201,6501,4,3,4,3,4,4,4,4,4,4,
jenni,word2vec,2026-06-07 09:28:51.835567+00,7,6,2026,true,true,true,true,true,true,false,true,true,false,19603,13501,13003,8200,14001,10500,13300,17800,18400,7800,4,5,5,5,5,5,4,3,2,4,5
Jennifer Carla,control,2026-06-10 05:35:04.54922+00,10,6,2026,false,true,true,true,false,false,false,false,false,false,19161,7764,16238,15752,41044,28982,19483,23984,13605,14009,4,4,3,4,4,4,3,3,3,3,
Jesselynn,lime,2026-06-05 17:36:22.320896+00,5,6,2026,true,true,true,true,true,true,false,false,false,false,6210,4612,3812,5516,6409,5413,4103,3806,12916,5817,4,4,5,4,4,4,4,4,3,4,4
Jessi,control,2026-06-05 11:06:16.763361+00,5,6,2026,false,false,false,false,false,true,false,true,false,true,16200,29401,21500,40701,27100,7700,14104,28101,7101,6000,4,3,4,3,4,3,4,4,4,2,
John,word2vec,2026-06-02 10:38:22.62944+00,2,6,2026,true,true,true,true,true,true,false,false,false,false,3803,4900,23013,8109,6204,7203,13312,29309,26306,9311,4,5,3,5,5,5,5,5,5,5,5
Jonathan E,lime,2026-06-08 13:20:24.877227+00,8,6,2026,false,true,true,true,false,false,false,false,false,false,7200,4100,6100,5600,9701,3601,5401,5101,7700,4801,3,5,5,5,3,5,4,3,5,5,5
Jordi,word2vec,2026-06-01 11:56:33.02009+00,1,6,2026,true,true,true,true,true,false,false,false,false,false,5700,7900,6502,7200,7300,5600,6801,12901,8000,2700,4,5,4,5,5,3,5,3,3,3,4
Joy,word2vec,2026-06-03 02:36:21.015568+00,3,6,2026,true,true,true,true,false,false,false,false,false,false,11891,29735,41436,19448,14321,9159,15521,17851,11988,5535,5,5,5,4,5,5,5,5,5,5,5
justine carneggie,control,2026-06-08 13:53:19.987766+00,8,6,2026,false,true,false,true,false,false,false,false,false,false,3125,3968,1199,12710,32176,3728,13097,9117,9240,5042,4,5,5,4,4,3,5,5,5,5,
Kempip,control,2026-06-05 16:36:25.522149+00,5,6,2026,true,true,false,true,true,true,false,false,true,false,18601,9900,10900,22700,16200,50301,6300,3701,3902,7301,5,5,5,5,5,1,5,5,5,5,
Ken,word2vec,2026-06-01 15:49:11.65246+00,1,6,2026,false,true,true,true,true,false,false,false,false,false,7201,3300,4400,3300,2300,9900,3001,7801,5600,5200,4,4,4,5,5,5,5,5,5,5,5
Ken,lime,2026-06-17 12:55:02.037218+00,17,6,2026,false,true,true,true,true,true,false,false,true,false,18500,21600,22300,11100,4001,9202,1500,99646,7800,6501,4,4,3,5,3,4,4,5,3,4,4
Lavannesa,control,2026-06-05 05:21:16.945535+00,5,6,2026,true,false,false,false,true,true,false,false,false,false,12147,27229,52447,25979,5598,12668,14332,40125,26707,25982,3,2,2,1,4,3,2,2,2,3,
lexa,lime,2026-06-20 09:26:23.698239+00,20,6,2026,true,true,true,true,true,true,false,false,false,false,5800,4200,3700,6500,5701,8401,1200,2300,4800,2701,4,5,5,4,4,2,5,5,3,4,5
Lilie,control,2026-06-15 09:17:35.310966+00,15,6,2026,true,true,false,true,false,true,true,false,false,false,16200,6100,2400,1100,3200,601,601,801,1700,1001,3,4,4,3,5,4,4,4,3,5,
lly,control,2026-06-15 10:10:37.316439+00,15,6,2026,false,false,false,false,false,false,false,false,false,false,6565,4948,4832,1211,910,909,809,809,910,808,4,4,4,4,4,4,4,4,4,4,
lyn,lime,2026-06-09 23:39:51.781643+00,9,6,2026,true,true,true,true,true,true,false,false,true,true,9443,2267,13604,4349,13500,5287,1850,1541,2163,4032,3,5,4,4,3,4,3,3,3,2,4
Maria,control,2026-06-03 12:36:43.734427+00,3,6,2026,true,true,false,false,true,true,false,false,false,false,14001,36000,16401,22300,2802,15001,11701,7801,21800,8502,5,4,2,2,5,4,4,4,2,4,
Mathilda Rafaella Christy Nugroho,control,2026-06-08 14:19:21.070272+00,8,6,2026,true,true,true,false,true,true,false,false,false,false,9700,20900,19601,21800,6700,5401,7601,16100,7300,12500,4,5,2,3,4,3,5,5,5,5,
Michael,word2vec,2026-06-01 11:45:59.14484+00,1,6,2026,true,true,true,true,true,true,false,false,false,false,6902,21007,12105,2401,1512,7201,15501,11301,9711,10001,5,5,5,5,5,5,5,5,5,5,2
michellyn chelsea limicia,control,2026-06-08 10:54:40.560642+00,8,6,2026,true,true,false,true,true,false,true,true,true,true,4972,7783,8198,11213,2476,10798,606,707,605,606,4,4,5,5,5,1,1,3,2,3,
morio,lime,2026-06-08 09:27:02.928897+00,8,6,2026,true,true,true,true,true,true,false,false,false,false,23301,38600,41201,20500,16500,23001,18400,30701,28800,17800,2,5,5,3,4,1,3,4,5,5,2
Muhammad Rizki Akbar ganteng bangett,lime,2026-06-19 13:21:35.786757+00,19,6,2026,false,true,true,true,false,true,false,false,true,false,13803,5501,2901,8701,2001,3102,5401,1700,3103,4103,3,4,3,4,3,4,4,4,4,4,4
Murti,control,2026-06-15 09:57:07.597638+00,15,6,2026,false,false,false,false,false,false,false,false,false,false,3700,1501,1101,3900,60400,700,1401,2101,1800,700,4,4,4,4,4,4,4,4,4,4,
Mutiara,word2vec,2026-06-02 14:17:23.917158+00,2,6,2026,false,true,true,true,true,true,false,false,false,false,21174,5847,10496,11488,10090,13523,10590,7264,13611,6253,3,5,3,5,5,4,4,2,3,2,2
Nadhif,word2vec,2026-06-02 14:55:58.858683+00,2,6,2026,false,true,true,true,false,false,false,false,false,false,9859,6115,9770,11941,9754,7050,7053,12667,7365,13924,4,5,4,4,3,5,5,4,5,4,4
nadzla,lime,2026-06-19 13:12:39.447066+00,19,6,2026,true,true,true,true,true,true,false,false,false,true,3312,3203,8718,8716,2060,11109,3932,11524,9340,4243,5,5,5,5,5,5,5,5,5,5,5
Nanay,lime,2026-06-19 13:40:25.027365+00,19,6,2026,false,true,true,true,false,false,false,false,false,false,13081,12668,22442,12980,19530,17138,22134,34998,31492,9028,4,4,4,4,4,4,3,4,2,4,3
Nda,word2vec,2026-06-03 02:56:01.660214+00,3,6,2026,false,true,true,true,true,true,false,false,false,false,14601,3102,1600,2600,6201,3600,1701,16600,3900,3905,3,5,4,5,3,3,4,3,5,4,3
Nia,control,2026-06-15 11:44:37.351278+00,15,6,2026,false,true,true,true,true,true,false,false,false,true,41100,22500,28710,29204,27500,16305,20801,21101,21106,17100,4,4,5,4,5,5,4,4,4,1,
nicholas vincent,lime,2026-06-07 16:35:09.854696+00,7,6,2026,true,false,true,true,true,false,false,false,true,false,13309,4101,4808,3812,4103,1715,3011,3605,7310,2617,4,5,5,5,5,5,5,5,1,5,5
nisrina,word2vec,2026-06-02 14:16:36.415247+00,2,6,2026,true,true,true,true,true,true,false,true,false,false,5700,3101,3101,1704,2801,3000,3100,6000,4700,1500,4,5,5,5,5,5,4,3,4,4,4
Nisya Dwi R,word2vec,2026-06-02 09:15:03.265055+00,2,6,2026,false,true,false,true,true,false,false,false,false,false,22674,41559,29255,6147,22164,35269,9869,10784,9976,7156,3,4,4,5,2,4,5,5,4,4,4
ocean,lime,2026-06-20 06:52:02.637865+00,20,6,2026,true,true,true,true,true,true,false,false,false,false,10310,10900,7402,6514,9702,10309,4201,3908,10502,9203,4,4,4,4,5,4,4,4,3,3,3
Olvyna,word2vec,2026-06-02 06:28:28.103307+00,2,6,2026,true,true,true,true,true,false,false,false,false,false,15801,7901,5406,9801,2701,9601,4402,3300,4151,2900,3,5,5,5,5,5,5,5,5,5,3
pbarnadetha@gmail.com,control,2026-06-15 10:22:40.08664+00,15,6,2026,false,false,false,false,false,false,false,false,false,false,1200,1000,901,800,1101,1100,800,801,700,801,5,5,5,5,5,5,5,5,5,5,
Pebbi,control,2026-06-15 11:01:04.383701+00,15,6,2026,true,true,true,true,true,true,true,true,true,true,2201,2701,800,1400,900,700,700,700,800,701,3,5,4,5,3,5,4,5,3,5,
Phylicia Angelina,word2vec,2026-06-01 13:46:51.567818+00,1,6,2026,true,true,true,true,true,false,false,false,false,false,6540,27215,17456,1615,11084,5136,4527,4228,3737,2523,4,2,4,4,4,5,5,5,5,5,5
puan,word2vec,2026-06-02 11:21:51.874381+00,2,6,2026,true,true,true,false,true,false,false,false,false,true,10601,8100,21100,26301,10001,15502,9200,12801,9000,10301,4,5,1,2,2,2,3,1,3,2,3
Putrii@gmail.com,control,2026-06-15 10:25:46.996607+00,15,6,2026,true,true,true,false,true,false,true,false,true,false,10096,1323,2650,722,3608,1929,1923,722,736,506,1,4,5,5,5,4,5,4,3,4,
Qiaofeii,control,2026-06-04 08:17:43.291218+00,4,6,2026,false,true,false,false,true,false,false,false,false,false,19501,67300,36600,58700,37401,9900,24600,20500,38600,15600,4,4,4,4,4,5,5,4,4,5,
ra,lime,2026-06-20 09:46:52.519893+00,20,6,2026,false,true,true,true,true,true,false,false,false,false,18501,27201,12901,12701,11901,12500,6401,7400,47201,13302,4,4,5,4,4,4,5,5,3,4,5
