name,group_type,is_phishing_email_1,is_phishing_email_2,is_phishing_email_3,is_phishing_email_4,is_phishing_email_5,is_phishing_email_6,is_phishing_email_7,is_phishing_email_8,is_phishing_email_9,is_phishing_email_10,response_time_email_1,response_time_email_2,response_time_email_3,response_time_email_4,response_time_email_5,response_time_email_6,response_time_email_7,response_time_email_8,response_time_email_9,response_time_email_10,confidence_level_email_1,confidence_level_email_2,confidence_level_email_3,confidence_level_email_4,confidence_level_email_5,confidence_level_email_6,confidence_level_email_7,confidence_level_email_8,confidence_level_email_9,confidence_level_email_10,helpfulness
Kempip,control,true,true,false,true,true,true,false,false,true,false,18601,9900,10900,22700,16200,50301,6300,3701,3902,7301,5,5,5,5,5,1,5,5,5,5,
Ken,word2vec,false,true,true,true,true,false,false,false,false,false,7201,3300,4400,3300,2300,9900,3001,7801,5600,5200,4,4,4,5,5,5,5,5,5,5,5
Lavannesa,control,true,false,false,false,true,true,false,false,false,false,12147,27229,52447,25979,5598,12668,14332,40125,26707,25982,3,2,2,1,4,3,2,2,2,3,
Maria,control,true,true,false,false,true,true,false,false,false,false,14001,36000,16401,22300,2802,15001,11701,7801,21800,8502,5,4,2,2,5,4,4,4,2,4,
Michael,word2vec,true,true,true,true,true,true,false,false,false,false,6902,21007,12105,2401,1512,7201,15501,11301,9711,10001,5,5,5,5,5,5,5,5,5,5,2
michellyn chelsea limicia,control,true,true,false,true,true,false,true,true,true,true,4972,7783,8198,11213,2476,10798,606,707,605,606,4,4,5,5,5,1,1,3,2,3,
morio,lime,true,true,true,true,true,true,false,false,false,false,23301,38600,41201,20500,16500,23001,18400,30701,28800,17800,2,5,5,3,4,1,3,4,5,5,2
Mutiara,word2vec,false,true,true,true,true,true,false,false,false,false,21174,5847,10496,11488,10090,13523,10590,7264,13611,6253,3,5,3,5,5,4,4,2,3,2,2
Nadhif,word2vec,false,true,true,true,false,false,false,false,false,false,9859,6115,9770,11941,9754,7050,7053,12667,7365,13924,4,5,4,4,3,5,5,4,5,4,4
Nda,word2vec,false,true,true,true,true,true,false,false,false,false,14601,3102,1600,2600,6201,3600,1701,16600,3900,3905,3,5,4,5,3,3,4,3,5,4,3
niggerian people,lime,true,false,true,true,true,false,false,false,true,false,13309,4101,4808,3812,4103,1715,3011,3605,7310,2617,4,5,5,5,5,5,5,5,1,5,5
nisrina,word2vec,true,true,true,true,true,true,false,true,false,false,5700,3101,3101,1704,2801,3000,3100,6000,4700,1500,4,5,5,5,5,5,4,3,4,4,4
Nisya Dwi R,word2vec,false,true,false,true,true,false,false,false,false,false,22674,41559,29255,6147,22164,35269,9869,10784,9976,7156,3,4,4,5,2,4,5,5,4,4,4
Olvyna,word2vec,true,true,true,true,true,false,false,false,false,false,15801,7901,5406,9801,2701,9601,4402,3300,4151,2900,3,5,5,5,5,5,5,5,5,5,3
Phylicia Angelina,word2vec,true,true,true,true,true,false,false,false,false,false,6540,27215,17456,1615,11084,5136,4527,4228,3737,2523,4,2,4,4,4,5,5,5,5,5,5
puan,word2vec,true,true,true,false,true,false,false,false,false,true,10601,8100,21100,26301,10001,15502,9200,12801,9000,10301,4,5,1,2,2,2,3,1,3,2,3
Qiaofeii,control,false,true,false,false,true,false,false,false,false,false,19501,67300,36600,58700,37401,9900,24600,20500,38600,15600,4,4,4,4,4,5,5,4,4,5,
Rachel,word2vec,true,true,true,true,true,true,false,false,false,false,6400,11401,20801,14400,7601,11300,19401,12101,9100,17500,5,5,3,5,5,5,5,5,5,5,4
Rania,word2vec,true,true,true,true,true,true,false,false,false,false,2600,1900,7600,3601,5100,13101,5200,6600,3900,4000,4,5,5,5,5,3,5,5,4,4,4
regina,word2vec,true,true,true,true,true,false,false,false,false,false,7610,33002,41405,28616,61707,31104,22613,6312,4917,3816,5,4,3,5,5,3,4,4,4,4,5
Rendi,word2vec,true,true,true,true,true,true,false,false,false,false,8001,7800,4201,5201,8400,3701,3100,21600,4700,2800,4,5,5,5,5,5,4,3,4,4,4
Rey,word2vec,false,true,true,true,true,false,false,false,false,false,34108,5401,8900,1101,4600,2000,1700,2300,1800,1401,3,5,3,3,3,2,4,4,5,5,5
ruby,control,false,true,true,true,true,false,false,false,false,false,2800,36401,16201,6600,10500,13701,15900,4700,10800,3400,4,4,4,4,4,4,4,4,4,4,
samuel,word2vec,true,true,false,true,false,true,false,false,false,false,8500,2506,27014,8104,13303,8907,2902,3900,3606,2203,4,5,5,5,5,5,5,4,5,5,4
Samuel,lime,true,true,true,true,true,true,false,false,false,false,25810,54806,66109,46000,37401,26502,14101,21403,16710,35108,3,5,3,5,3,4,5,5,5,5,5
Sar,word2vec,true,true,true,true,true,false,true,true,false,false,23501,18900,13400,16900,2000,14501,13600,6901,10300,9200,5,5,4,4,4,4,1,1,3,4,4
Se,word2vec,true,true,true,true,false,false,false,false,false,false,6200,2601,4202,2900,4100,4100,3501,1801,2600,2300,4,4,4,4,4,4,5,5,5,5,5
Selin,control,true,true,false,true,true,true,false,false,false,false,14926,25601,40423,19013,11094,16422,22072,39117,30625,26306,4,5,4,4,5,2,5,2,2,5,
Shane S.,lime,true,true,false,true,true,true,false,false,true,true,7200,10502,21101,9300,2401,13600,3901,5704,5501,19600,4,4,4,4,5,5,4,5,1,2,4
Stella,word2vec,true,true,true,false,true,false,false,true,true,true,4433,5953,2623,2520,4130,2312,1611,2011,7057,5146,5,5,5,5,5,5,5,5,5,1,3
sultan,lime,true,true,true,true,false,false,false,false,false,false,5806,7002,9117,8715,6002,2302,6715,7009,5202,3215,3,3,3,4,2,2,4,4,1,2,4
test,control,false,true,true,true,false,true,true,true,true,false,13101,3800,500,601,502,800,4001,900,501,1501,1,1,2,5,4,4,3,5,4,5,
vanda,word2vec,true,true,true,true,true,false,false,false,false,false,3935,1918,8268,7157,6254,4646,8161,7356,5654,5447,4,5,5,5,3,3,3,4,4,4,4
Vanessa,control,true,true,true,true,true,true,false,false,false,false,5802,17201,15001,20801,13900,14600,34001,12401,11201,10201,3,3,3,3,3,3,3,3,3,3,
vincensius,lime,true,true,true,true,true,true,false,false,true,false,22700,4000,2101,4800,2100,10901,2800,2100,2501,2300,5,5,5,5,5,4,5,5,4,3,5
Vinny Aureliya,control,true,true,false,true,true,false,false,true,false,false,8701,14801,17801,7502,11100,4400,9802,9000,12003,6501,4,5,4,5,5,5,3,2,4,5,
W,word2vec,true,true,true,true,true,true,false,false,true,false,6802,6700,3900,7901,2301,2101,4501,8000,2400,4701,3,3,4,4,4,3,3,3,3,3,5
Wayne Winson Tjoe,word2vec,true,true,true,true,true,false,false,false,false,false,8100,6801,8701,7501,3101,4300,8700,6600,5500,3901,4,4,4,2,5,4,4,3,5,5,4
WE,word2vec,true,true,true,true,true,true,true,false,false,false,14101,3113,911,1503,1501,908,1202,12003,1112,1502,3,5,5,5,4,4,2,3,4,4,4
WPH,control,false,true,true,true,true,false,false,false,false,false,19606,11509,5013,19312,12207,14602,5900,11303,8307,8804,4,5,4,4,5,3,5,4,4,2,
yohana,control,true,true,false,true,false,true,true,false,false,false,11614,8711,7004,5200,5009,3210,9905,9206,4607,4914,4,5,4,4,5,3,4,3,4,4,
Zahra,control,true,true,true,false,true,false,false,false,true,false,11901,66202,25001,27001,13701,15101,26501,13000,35300,16600,5,4,5,3,4,4,5,4,3,5,
zzz,word2vec,true,true,true,false,true,false,true,false,false,false,13530,6767,6664,6872,9189,11116,11825,9599,7469,7481,4,4,4,4,4,1,1,4,5,4,5
